stdid,A_PLURAL,MORFOLOGIK_RULE_EN_GB,SENTENCE_FRAGMENT,UPPERCASE_SENTENCE_START,text,ENGLISH_WORD_REPEAT_BEGINNING_RULE,EN_COMPOUNDS,IN_PAST,I_LOWERCASE,HE_VERB_AGR,THERE_S_MANY,IT_IS,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA,COMMA_PARENTHESIS_WHITESPACE,EN_A_VS_AN,SENTENCE_WHITESPACE,WONT,BEEN_PART_AGREEMENT,WOMAN_WOMEN,DOUBLE_PUNCTUATION,EN_CONTRACTION_SPELLING,MY_BE,ADVERB_WORD_ORDER,AM_I,ADMIT_ENJOY_VB,ADVISE_VBG,IN_A_X_MANNER,THE_SENT_END,CANT,ENGLISH_WORD_REPEAT_RULE,KIND_OF_A,MASTERS,TOO_DETERMINER,EN_QUOTES,EN_UNPAIRED_BRACKETS,EN_GB_SIMPLE_REPLACE,NEW_XX,PROGRESSIVE_VERBS,PRP_RB_NO_VB,ANY_BODY,MAY_BE,ACCORDING_TO_ME,AFFORD_VBG,MISSING_HYPHEN,TO_TOO,DT_PRP,EVERYDAY_EVERY_DAY,MISSING_COMMA_AFTER_INTRODUCTORY_PHRASE,PEOPLE_VBZ,LOOSE_LOSE,EVERY_EACH_SINGULAR,RATHER_THEN,COMPARISONS_THEN,SO_AS_TO,TRY_AND,NON3PRS_VERB,THE_SUPERLATIVE,POSSESSIVE_APOSTROPHE,IT_VBZ,WHERE_AS,WHITESPACE_RULE,AFFECT_EFFECT,I_MOVING,THEIR_IS,SOME_OF_THE,A_UNCOUNTABLE,COMP_THAN,DID_BASEFORM,LITTLE_BIT,CD_NN,HAVE_PART_AGREEMENT,APOSTROPHE_PLURAL,scount,wcount
BITS01,1.0,1.0,1.0,1.0,"I am a peoples‘ person. Sincerity and commitment to my work are what I
consider to be my strengths. Bonding among the team members is the most
important thing to keep them motivated. Also, breaking down of bigger tasks

into short term goals and rewards for the same will help them stay motivated.

A friend of mine was always late to project meetings and never informed us
about the same. I attributed this to her non—seriousness towards the work.
Whereas, she was under a lot of stress at that time due to family problems.
That was the time I wrongly judged her for being insincere. The biggest
challenge I have faced so far is to not worry about things I can't change/ do
anything about. I can't think of a reason for that. Public speaking and the art
of pursuation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,154
F001,0.0,4.0,0.0,0.0,"Java developer currently working in SG with 3 years experience. Yes. I have
good career and happy with where my current position. Noone. Incentives
and appreciations and most importantiy doing justice with my job. I dint get a
dream job but did very well in the job. Organizor of Ofﬁce fun mails",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,58
F002,0.0,1.0,0.0,0.0,"I have completed my engineering in instrumentation technology, currently
undertaking master of engineering at university of technology, sydney. Yes, i
am a hard working person and i like to learn and lot for my personal growth.
A lot of people have inspired me but mainly i would like yo say that my father
is my inspiration. I have grown up watching him and i aspire to be like him in
future. I would like to help people and contribute to the society i live in, which
i consider is my biggest motivation. I always fail keeping up my diet in order
to lose weight, but i have lot of willpower and patience which keeps me
going. I believe everybody is creative in their own sense, i would like to say i
am creative in whatever i do",2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,149
F003,0.0,3.0,0.0,0.0,"Computer Science engineer by profession, always looking to Ieam new things.

Partially. Have a lot of things that I haven't achieved yet. Could be anyone
from whom I can Ieam new things. Being or trying to be perfect in every work
I undertake. Can't think of any as such. But ifl do not put in my best then I
will look back and learn from the mistakes. For my self assessment that will
be helpful in the future. Interior designing of my house",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,94
F004,0.0,1.0,0.0,0.0,"I am a software engineer working as a software architect in Robert Bosch Pvt
Ltd. Not yet as there is lots to achieve in terms of gaining knowledge and
excellence. People who have achieved excellence in there respective area of
work inspires me as it motivates me to do better in whatever I am doing. The
satisfaction that I get after giving my 100 percent for any job motivates.
Every job I look for something to Ieam and experience. Think of the worst
case scenario before setting any goal which will help in handling if goal is not
reached. I try to Minimize wastage and maximise usage of resources which
requires to be creative",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,119
F005,0.0,3.0,0.0,0.0,"Currently working as a software engineer in societe general global solution.
Yes, I consider myself successful. I have an excellent job and able to do
justice to my work successfully. No one in particular, but yes I do get inspired
by all big/small achievements of everyone. When I realise how my good work
is being helpful when seeing it in bigger picture, it motivates me to do good
jobul. I had screwed up cat exams in ﬁrst attempt but still dint give up and
writing it again. I'm part of organising committee for fun activities where we
arrange all FUN activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,111
F006,0.0,6.0,0.0,0.0,"I am a fu|l—time professional Web Developer, a traveler, avid reader and a
novice photographer. Yes. I have got an opportunity to transform myself
through hard work. I have the priviledge to help people experience latest in
web technology and thus make their life better. Also its a pleasure to lead
people, get inspired and inspire others by getting job done. My father, friends
and many inﬂuential people around the world. Their work ethics, energy to
create an impact for people around them is a great source of motivation. The
positive outcome that could help people and organizations succeed through
hard work and constant innovation. Helping people succeed is the primary
source of motivation. I couldn't ﬁnish my Bachelor's Degree. However I
compensated the lieu by self—|eamed demanding skills the web industry
currently. I developed a Javascript library that manipulates the web elements
using the data retrieved from accelerometer and gyroscope of smartphones
and using which, the elements on the web page was made to simulate real-
world shadows with an imaginary light source",1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,193
F007,0.0,2.0,0.0,0.0,"Easy to go with and have 1""un.To keep everybody interested. Judged a English
speaker that he couldn't speak hindi , but he was excellent at that too. Small
talks. I might get bored after saturation. Playing a musical instrument",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,46
F008,0.0,2.0,0.0,0.0,"23,Mumbai. Tech and food is exciting. Prefer being alone than a group of
unknowns. Friendliness. They are always comfortable around me and that is
what gets the real views out of them. Comfort is better. Let them have their
personal time and their mental state shall reﬂect on the productivity. Many
instances for me on this. A Client, wont name, slammed our tech product and
heavily criticized it. We made improvements and reached out to him again,
only to find out he did that for our own good. Such things happen and these
people just know how to react. Scaling a tech product from a 0 to a 1. Then
convincing companies to use your naive product in their operations. My
commitment can be a pain sometimes. I have worked throughout the night
multiple times to get my deliverable complated. In such cases, i might bug
everyone related to the product / system. That would be video editing. I have
started to acquire some new techniques on the same",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,192
F009,0.0,3.0,0.0,0.0,"25 year Software Developer. Currently completing graduation in USA. Will
Code for Food, and prefer Netﬂix over sleep. Make sure no conﬂicts among
team members. More per1<s / outings. Misjudged a friend to be helpful, but he
was actually jealous and never wanted my growth. Convince my parents I can
do MS outside India (in USA). Because I am too good for your taaks. Learn to
play the piano",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,83
