,count1,count2,count3,count4,count5,count6,stdid
0,19.0,34.0,52.0,20.0,8.0,7.0,BITS01
1,10.0,12.0,1.0,11.0,13.0,5.0,F001
2,18.0,18.0,35.0,21.0,24.0,21.0,F002
3,11.0,11.0,10.0,11.0,36.0,5.0,F003
4,15.0,15.0,25.0,23.0,20.0,15.0,F004
5,11.0,19.0,17.0,23.0,18.0,14.0,F005
6,15.0,46.0,28.0,25.0,19.0,40.0,F006
7,7.0,4.0,17.0,2.0,6.0,4.0,F007
8,14.0,36.0,49.0,21.0,33.0,16.0,F008
9,18.0,11.0,16.0,11.0,8.0,5.0,F009
10,3.0,4.0,16.0,8.0,5.0,5.0,F010
11,35.0,38.0,23.0,30.0,32.0,46.0,F011
12,8.0,4.0,17.0,6.0,4.0,6.0,F012
13,17.0,26.0,38.0,12.0,6.0,2.0,F013
14,11.0,21.0,4.0,6.0,17.0,3.0,F014
15,4.0,8.0,15.0,7.0,7.0,1.0,F015
16,66.0,57.0,110.0,77.0,50.0,12.0,F016
17,17.0,4.0,21.0,11.0,8.0,4.0,F017
18,9.0,10.0,7.0,9.0,16.0,3.0,F018
19,5.0,3.0,0.0,2.0,2.0,2.0,F019
20,14.0,1.0,5.0,29.0,52.0,3.0,F020
21,1.0,1.0,8.0,2.0,3.0,1.0,F021
22,42.0,33.0,59.0,18.0,10.0,38.0,F022
23,19.0,11.0,13.0,17.0,31.0,7.0,F023
24,7.0,20.0,52.0,53.0,27.0,2.0,F024
25,26.0,11.0,7.0,50.0,25.0,0.0,F025
26,48.0,50.0,36.0,31.0,23.0,54.0,IMT2012029
27,58.0,49.0,25.0,56.0,32.0,35.0,IMT2012033
28,45.0,62.0,75.0,65.0,74.0,79.0,IMT2012042
29,86.0,61.0,96.0,91.0,114.0,72.0,IMT2012043
30,44.0,24.0,32.0,1.0,3.0,28.0,IMT2012044
31,38.0,26.0,2.0,5.0,1.0,10.0,IMT2013008
32,67.0,87.0,99.0,77.0,99.0,99.0,IMT2013011
33,84.0,69.0,98.0,93.0,120.0,122.0,IMT2013013
34,89.0,71.0,79.0,106.0,56.0,52.0,IMT2013018
35,119.0,140.0,55.0,66.0,53.0,58.0,IMT2013026
36,57.0,70.0,52.0,40.0,70.0,48.0,IMT2013036
37,49.0,60.0,12.0,89.0,66.0,33.0,IMT2013038
38,116.0,149.0,124.0,94.0,77.0,46.0,IMT2013045
39,21.0,10.0,25.0,0.0,14.0,10.0,IMT2014003
40,47.0,80.0,76.0,91.0,98.0,39.0,IMT2014017
41,42.0,86.0,28.0,56.0,30.0,35.0,IMT2014018
42,59.0,83.0,90.0,52.0,56.0,73.0,IMT2014023
43,58.0,67.0,50.0,43.0,33.0,40.0,IMT2014024
44,44.0,84.0,74.0,90.0,87.0,104.0,IMT2014028
45,51.0,63.0,126.0,77.0,95.0,83.0,IMT2014031
46,120.0,87.0,68.0,62.0,112.0,109.0,IMT2014038
47,40.0,52.0,40.0,64.0,57.0,81.0,IMT2014040
48,127.0,147.0,166.0,150.0,136.0,160.0,IMT2014042
49,119.0,44.0,109.0,85.0,181.0,72.0,IMT2014045
50,42.0,43.0,43.0,50.0,53.0,35.0,IMT2014047
51,31.0,11.0,40.0,40.0,18.0,24.0,IMT2014050
52,51.0,38.0,51.0,21.0,73.0,55.0,IMT2014055
53,49.0,41.0,48.0,86.0,86.0,28.0,IMT2014056
54,37.0,84.0,98.0,97.0,90.0,127.0,IMT2014058
55,41.0,90.0,36.0,35.0,40.0,70.0,IMT2014060
56,44.0,42.0,53.0,64.0,54.0,66.0,IMT2014064
57,93.0,68.0,86.0,96.0,82.0,90.0,IMT2016008
58,71.0,91.0,99.0,110.0,128.0,69.0,IMT2016012
59,57.0,79.0,79.0,83.0,75.0,62.0,IMT2016018
60,71.0,57.0,77.0,86.0,107.0,59.0,IMT2016023
61,77.0,59.0,82.0,81.0,87.0,50.0,IMT2016025
62,45.0,53.0,61.0,44.0,65.0,66.0,IMT2016032
63,47.0,65.0,63.0,40.0,54.0,51.0,IMT2016037
64,57.0,37.0,54.0,55.0,65.0,49.0,IMT2016060
65,115.0,118.0,83.0,141.0,123.0,127.0,IMT2016088
66,84.0,81.0,74.0,97.0,34.0,62.0,IMT2016092
67,67.0,39.0,89.0,64.0,87.0,25.0,IMT2016103
68,42.0,58.0,15.0,23.0,31.0,16.0,IMT2016107
69,96.0,89.0,88.0,87.0,98.0,77.0,IMT2016112
70,81.0,80.0,83.0,83.0,87.0,67.0,IMT2016122
71,30.0,19.0,61.0,63.0,54.0,35.0,IMT2016125
72,91.0,70.0,89.0,121.0,71.0,104.0,IMT2016126
73,67.0,65.0,51.0,66.0,45.0,16.0,M1368
74,112.0,107.0,99.0,149.0,75.0,103.0,M1370
75,117.0,56.0,20.0,25.0,26.0,81.0,MS2012008
76,56.0,59.0,48.0,31.0,65.0,35.0,MS2014004
77,69.0,89.0,44.0,96.0,62.0,28.0,MS2015009
78,129.0,95.0,86.0,147.0,124.0,104.0,MS2016006
79,64.0,80.0,58.0,79.0,82.0,95.0,MT2015009
80,68.0,88.0,87.0,115.0,106.0,85.0,MT2015020
81,72.0,66.0,86.0,66.0,92.0,69.0,MT2015038
82,78.0,67.0,51.0,29.0,23.0,46.0,MT2015041
83,66.0,41.0,43.0,26.0,49.0,47.0,MT2015053
84,81.0,36.0,70.0,71.0,88.0,64.0,MT2015062
85,66.0,8.0,53.0,57.0,79.0,46.0,MT2015063
86,36.0,4.0,48.0,42.0,40.0,58.0,MT2015069
87,45.0,63.0,34.0,52.0,37.0,40.0,MT2015100
88,119.0,101.0,73.0,101.0,84.0,66.0,MT2015103
89,96.0,73.0,49.0,88.0,71.0,68.0,MT2015106
90,43.0,32.0,56.0,43.0,34.0,41.0,MT2015109
91,39.0,25.0,49.0,45.0,21.0,12.0,MT2015122
92,38.0,49.0,49.0,58.0,62.0,51.0,MT2015503
93,102.0,78.0,71.0,75.0,84.0,77.0,MT2015519
94,58.0,23.0,2.0,53.0,20.0,38.0,PH2014003
95,54.0,38.0,35.0,51.0,37.0,47.0,PH2014008
96,106.0,72.0,46.0,4.0,11.0,1.0,PH2014010
97,62.0,17.0,15.0,9.0,82.0,7.0,PH2014014
98,25.0,1.0,16.0,39.0,32.0,1.0,PH2015013
99,34.0,19.0,23.0,44.0,15.0,47.0,PH2015015
